issueID,PubDate,Article count,Sales
1,10/24/04,7,2227
2,2011/8/4,5,703
3,11/23/04,7,2252
4,2012/8/4,7,2180
5,12/23/04,8,2894
6,2001/7/5,7,2006
7,1/22/05,7,2140
8,2002/6/5,7,2308
9,2/21/05,6,1711
10,2003/8/5,5,1227
11,3/23/05,9,3642
12,2004/7/5,7,2153
13,4/22/05,6,1826
14,2005/7/5,6,1531
15,5/22/05,6,1406
16,2006/6/5,7,2219
17,6/21/05,10,4035
18,2007/6/5,7,2389
19,7/21/05,6,1494
20,2008/5/5,7,2140
21,8/20/05,6,1575
22,2009/4/5,9,3339
23,9/19/05,6,1682
24,2010/4/5,10,3605
25,10/19/05,7,2252
26,2011/3/5,9,3234
27,11/18/05,8,2796
28,2012/3/5,5,1174
29,12/18/05,8,2869
30,2001/2/6,5,1050
31,1/17/06,7,2023
32,2002/1/6,6,1911
33,2/16/06,9,3074
34,2003/3/6,6,1640
35,3/18/06,7,2538
36,2004/2/6,9,3134
37,4/17/06,6,1419
38,2005/2/6,6,1744
39,5/17/06,8,2879
40,2006/1/6,8,2645
41,6/16/06,10,4071
42,2007/1/6,5,1142
43,7/16/06,7,1969
44,7/31/06,8,2944
45,8/15/06,6,1669
46,8/30/06,6,1702
47,9/14/06,7,1690
48,9/29/06,6,1795
49,10/14/06,5,1064
50,10/29/06,10,3728
51,11/13/06,7,2137
52,11/28/06,8,3074
53,12/13/06,9,3414
54,12/28/06,5,1187
55,2001/12/7,10,4339
56,1/27/07,8,2878
57,2002/11/7,7,2344
58,2/26/07,9,3215
59,3/13/07,9,3662
60,3/28/07,5,918
61,2004/12/7,6,1316
62,4/27/07,8,2608
63,2005/12/7,6,1643
64,5/27/07,6,1256
65,2006/11/7,6,1201
66,6/26/07,8,2707
67,2007/11/7,7,2566
68,7/26/07,5,1331
69,2008/10/7,8,2740
70,8/25/07,5,330
71,2009/9/7,5,1106
72,9/24/07,6,2052
73,2010/9/7,9,3252
74,10/24/07,10,4022
75,2011/8/7,6,1562
76,11/23/07,9,3422
77,2012/8/7,5,1180
78,12/23/07,9,3303
79,2001/7/8,6,1648
80,1/22/08,10,3994
81,2002/6/8,18,4031
82,2/21/08,19,4108
83,2003/7/8,17,4010
84,3/22/08,16,4140
85,2004/6/8,16,4022
86,4/21/08,14,3959
87,2005/6/8,14,3916
88,5/21/08,14,4015
89,2006/5/8,17,4179
90,6/20/08,16,4057
91,2007/5/8,11,4098
92,7/20/08,16,3791
93,2008/4/8,20,3990
94,8/19/08,13,4031
95,2009/3/8,12,4046
96,9/18/08,12,3961
97,2010/3/8,15,4120
98,10/18/08,16,3961
99,2011/2/8,13,4053
100,11/17/08,18,3961
101,2012/2/8,16,4064
102,12/17/08,14,3866
103,2001/1/9,15,4049
104,1/16/09,14,4074
105,1/31/09,17,4007
106,2/15/09,16,3962
107,2003/2/9,14,3941
108,3/17/09,13,4024
109,2004/1/9,13,3886
110,4/16/09,20,3997
111,2005/1/9,27,3973
112,5/16/09,24,3834
113,5/31/09,26,3970
114,6/15/09,27,3907
115,6/30/09,30,3938